Route,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec
1 - FREEPORT ROAD,1080.2500,1110.5000,1240.8000,1335.7500,1430.5000,1404.0000,1421.7500,1427.8000,1413.7500,1334.7500,1310.6000,1171.5000,1195.5000,1226.2000,846.7500,688.0000,819.2000,990.0000,767.3333,759.4000,813.2500,784.6000,798.7500,707.7500,732.4000,753.2500,868.7500,1019.7500,1031.0000,1161.7500,1062.4000,1148.5000,1068.0000,1020.8000,937.0000,930.6667,827.5000,896.5000,1132.5000,1105.0000,1236.2500,1337.7500,1224.2000,1181.7500,1270.5000,1181.8000,1035.5000,909.2000,953.0000,1010.0000,1049.7500,1066.6000,1139.5000,1251.5000,1150.2000,1111.5000,1206.4000,1106.7500,985.5000,1008.2000,791.7500,908.5000,971.0000,1058.5000,1101.7500,1155.6000,1210.7500,1089.4000,1181.2500,1100.7500,1040.0000,972.0000,907.7500,898.7500,955.2000,1048.0000,1136.4000,1136.2500,1075.7500,1235.4000,1234.0000,1221.5000,1138.2000,
11 - FINEVIEW,229.5000,237.7500,220.6000,219.5000,261.2500,230.6000,216.7500,210.0000,227.0000,216.2500,261.2000,173.0000,181.5000,192.2000,129.7500,182.7500,174.4000,169.7500,141.6667,128.2000,157.2500,132.6000,116.2500,113.2500,108.4000,110.2500,139.0000,98.5000,119.0000,119.7500,159.4000,136.5000,145.7500,162.0000,107.0000,109.6667,122.5000,146.5000,194.2500,146.8000,152.2500,149.5000,195.8000,177.7500,188.2500,175.8000,169.0000,175.4000,168.7500,209.7500,210.5000,205.4000,204.7500,214.0000,262.8000,215.7500,249.0000,187.0000,204.0000,184.0000,122.7500,187.2500,138.6000,166.0000,175.0000,198.6000,160.0000,139.8000,175.7500,178.5000,159.4000,147.0000,112.2500,139.2500,142.0000,152.0000,156.2000,147.5000,145.7500,186.8000,169.0000,176.7500,167.6000,
12 - MCKNIGHT,1305.5000,1361.0000,1342.0000,1471.2500,1441.2500,1317.8000,1214.5000,1472.4000,1392.2500,1362.5000,1447.2000,1475.7500,1463.5000,1279.8000,775.7500,516.0000,586.2000,861.2500,736.0000,770.6000,788.5000,737.2000,767.0000,717.0000,739.8000,684.0000,781.2500,909.2500,866.0000,892.0000,919.0000,1000.5000,1061.7500,1015.8000,985.2500,1036.3333,935.7500,964.5000,1102.5000,1122.4000,992.2500,1074.0000,1079.2000,1149.7500,1180.0000,1235.8000,1191.7500,957.2000,991.2500,1037.0000,1035.2500,1044.4000,1094.2500,1108.5000,1078.0000,1143.0000,1309.0000,1136.7500,1108.7500,1094.0000,906.5000,925.2500,909.2000,971.5000,1056.7500,1095.0000,1063.5000,1094.0000,1161.7500,1187.5000,1085.2000,1076.5000,891.0000,994.0000,1012.4000,1055.0000,1049.4000,971.2500,1041.0000,1190.8000,1203.0000,1247.5000,1158.8000,
13 - BELLEVUE,1283.5000,1423.0000,1295.0000,1476.0000,1453.0000,1378.8000,1411.7500,1482.6000,1475.5000,1448.2500,1398.2000,1346.5000,1311.2500,1258.0000,946.7500,904.5000,1033.6000,1066.0000,876.0000,812.6000,895.0000,848.6000,809.5000,721.5000,723.4000,722.0000,802.7500,829.7500,840.2000,1012.5000,944.4000,952.5000,945.7500,873.2000,829.2500,821.3333,662.7500,702.2500,924.0000,983.2000,975.7500,1047.0000,1017.2000,1061.0000,1150.2500,1054.4000,989.0000,896.6000,917.5000,944.2500,1036.0000,1071.6000,1137.0000,1203.2500,1147.6000,1200.2500,1194.6000,1102.0000,1060.5000,1020.4000,783.5000,972.2500,907.8000,991.5000,1030.5000,1199.6000,1073.2500,1058.4000,1079.5000,1141.0000,964.0000,903.2500,804.7500,873.7500,915.4000,977.7500,1090.6000,1018.0000,1046.5000,1177.8000,1173.5000,1135.0000,1055.4000,
14 - OHIO VALLEY,552.5000,580.7500,586.6000,630.0000,679.5000,709.8000,691.7500,709.8000,643.7500,610.7500,631.0000,578.0000,580.2500,561.8000,434.5000,224.5000,347.8000,376.5000,321.6667,288.4000,323.2500,310.2000,324.5000,275.2500,248.8000,266.0000,331.0000,353.0000,327.0000,360.0000,370.6000,343.0000,355.0000,361.0000,339.7500,335.3333,263.5000,285.7500,312.5000,395.2000,339.7500,449.5000,409.2000,423.0000,544.2500,449.6000,426.2500,327.4000,343.2500,340.5000,362.2500,348.6000,406.5000,504.0000,426.6000,477.7500,489.8000,426.2500,384.0000,338.0000,272.0000,314.2500,297.8000,295.0000,355.2500,355.2000,378.2500,320.8000,388.5000,407.0000,351.6000,319.0000,269.5000,283.0000,324.2000,350.7500,317.8000,369.2500,361.2500,398.8000,397.7500,364.5000,391.6000,
15 - CHARLES,716.0000,778.7500,802.2000,807.5000,862.5000,846.2000,801.0000,826.2000,759.5000,838.2500,675.4000,819.7500,779.2500,743.4000,605.2500,573.2500,633.6000,657.2500,461.3333,456.6000,447.7500,433.4000,366.7500,351.2500,355.0000,348.5000,367.2500,432.2500,434.6000,525.7500,442.0000,457.7500,529.2500,470.2000,449.7500,439.6667,385.5000,433.0000,530.5000,531.6000,467.0000,541.5000,461.2000,452.5000,594.7500,622.8000,608.7500,474.6000,497.0000,528.2500,534.0000,573.0000,570.7500,696.7500,520.0000,569.0000,454.6000,447.2500,460.7500,418.4000,287.5000,320.5000,407.0000,480.2500,499.5000,581.4000,557.5000,518.8000,562.5000,562.5000,498.2000,468.2500,430.2500,461.7500,510.4000,559.0000,550.8000,567.0000,538.5000,580.6000,523.0000,608.5000,562.6000,
16 - BRIGHTON,2146.2500,2104.0000,2088.2000,2290.0000,2376.2500,2225.0000,2209.2500,2314.8000,2342.7500,2245.7500,2161.0000,1940.2500,2038.5000,2007.4000,1402.5000,1341.5000,1601.6000,1479.7500,1187.6667,1158.2000,1259.2500,1192.2000,1158.7500,1020.2500,1025.2000,1061.0000,1127.2500,1240.5000,1222.4000,1395.5000,1370.4000,1387.2500,1412.2500,1364.6000,1267.0000,1191.6667,1066.5000,1172.2500,1431.7500,1435.6000,1410.7500,1406.5000,1411.2000,1385.7500,1502.0000,1503.6000,1395.2500,1150.8000,1238.7500,1335.7500,1318.7500,1411.4000,1558.2500,1687.2500,1602.2000,1593.7500,1616.8000,1474.0000,1347.2500,1286.8000,1064.7500,1246.2500,1382.2000,1441.7500,1407.0000,1479.0000,1448.0000,1414.0000,1433.5000,1452.0000,1439.0000,1267.7500,1180.5000,1286.7500,1308.2000,1354.5000,1541.4000,1367.7500,1396.5000,1616.8000,1536.2500,1718.2500,1407.6000,
17 - SHADELAND,494.7500,602.5000,516.8000,612.5000,654.0000,668.6000,666.0000,652.6000,688.0000,649.7500,549.8000,595.0000,641.7500,543.6000,370.5000,348.5000,432.6000,383.2500,324.0000,337.2000,317.2500,321.0000,302.2500,275.0000,260.0000,300.7500,331.5000,317.5000,330.4000,362.7500,381.0000,338.0000,341.2500,338.0000,334.7500,325.3333,282.7500,303.7500,397.0000,412.0000,360.7500,419.0000,380.8000,358.5000,402.5000,404.2000,351.0000,334.0000,341.5000,324.0000,351.0000,364.0000,403.5000,427.2500,439.8000,403.2500,446.4000,353.7500,316.0000,314.0000,270.7500,313.2500,312.4000,332.5000,344.0000,376.0000,351.0000,360.8000,317.2500,354.5000,344.4000,300.5000,271.2500,326.0000,304.6000,297.2500,325.2000,347.2500,392.5000,386.8000,375.2500,368.7500,358.6000,
18 - MANCHESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19L - EMSWORTH LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
