Route,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec
1 - FREEPORT ROAD,1526.0000,1618.7000,1675.0952,1719.2273,1767.3182,1802.8500,1803.1364,1862.5455,1813.5000,1783.2174,1682.7500,1631.4286,1651.7273,1654.5500,1253.5909,872.4091,1042.9000,1171.5000,1021.2609,999.7619,1018.0952,988.6364,993.3500,1050.7273,1026.3500,1007.9000,1185.4783,1274.0455,1254.7000,1285.6818,1336.7143,1363.0909,1355.9048,1345.6667,1321.9048,1253.5217,1147.9524,1284.7000,1508.0870,1466.5238,1492.2381,1565.7273,1703.5000,1717.3478,1631.5238,1665.7619,1538.3333,1513.4091,1490.4091,1526.0500,1537.3478,1626.1500,1694.6364,1688.5000,1659.4000,1643.5652,1683.6500,1714.5909,1477.6190,1311.1500,1180.7273,1362.0000,1394.9048,1450.0909,1539.7273,1577.2500,1590.5455,1611.1364,1602.2500,1591.1304,1474.3000,1342.3810,1225.9091,1355.2000,1428.9524,1506.8636,1525.3333,1565.0476,1562.0455,1762.1905,1759.9048,1746.3043,1648.8421,
11 - FINEVIEW,545.0000,565.4000,570.6667,581.0909,590.2273,553.7000,533.8636,508.4545,547.6500,553.1304,527.5000,523.1429,531.4545,537.1500,402.5455,296.6818,342.9500,324.5455,285.0870,276.0476,275.6667,267.1364,259.8500,269.5455,264.4000,249.1500,282.1739,311.3182,316.5000,329.6818,380.3810,375.7273,411.7619,439.1429,358.5238,344.3043,309.1429,376.7000,442.5217,384.7143,403.5238,443.7273,433.2000,429.1304,480.9524,450.1905,418.8571,388.2273,401.1364,437.8000,455.6087,428.2500,426.9545,427.3636,434.1500,425.8261,466.5000,474.6818,422.6667,358.8500,335.3636,392.6190,342.1429,368.7727,377.0455,355.0000,346.6818,355.0909,393.3500,395.0870,373.4500,330.5238,325.0000,366.5500,428.0000,364.2273,401.5714,340.5238,316.2273,354.6190,396.5238,401.9130,381.7368,
12 - MCKNIGHT,1125.2727,1250.8000,1200.8095,1235.3182,1221.7727,1219.4500,1207.1364,1271.5909,1299.9000,1288.4348,1333.4500,1321.2381,1214.8636,1198.6000,805.8182,431.0000,548.1000,753.0909,625.0870,644.9524,649.5238,595.6364,627.9500,704.6818,646.2500,638.1500,717.8261,740.9091,766.9000,763.8636,816.4286,858.0909,904.4286,907.3333,953.6667,947.0870,809.9524,904.4000,1036.4348,920.8095,897.1905,932.5909,926.2000,954.6522,1055.9524,1046.5714,981.8571,924.8636,825.8636,921.0500,913.4348,968.8500,1017.3182,957.7727,956.2500,1043.2609,1074.9500,1077.3182,997.0476,938.9500,818.4545,830.0476,821.9048,859.6364,949.0000,998.4500,921.2273,950.4545,1000.0000,1011.7391,1019.2000,908.4286,773.0000,824.6500,861.4762,902.4545,914.9048,962.2857,999.0455,1121.2381,1119.2857,1176.4783,1111.7368,
13 - BELLEVUE,1913.9091,2073.0500,2115.6667,2089.8636,2215.0909,2125.9000,2117.3182,2087.3636,2251.4500,2252.3043,2163.1500,1991.0952,2051.3636,2095.4500,1499.9091,675.5000,937.2500,1199.8182,1037.8261,1033.9048,1069.0000,1018.0455,1001.1000,1020.0000,968.7500,983.3500,937.3043,1022.2273,1073.6000,1101.4091,1143.3333,1160.7273,1291.0476,1294.6190,1174.3333,1136.3913,1012.0476,1193.0000,1452.6087,1343.2857,1415.4286,1381.1364,1396.1500,1399.6087,1595.8571,1472.8571,1421.6190,1335.6818,1336.9545,1461.2500,1437.2174,1478.5000,1529.1364,1480.3182,1465.4500,1478.5217,1596.7000,1597.0455,1369.6190,1277.0500,1138.8636,1229.7619,1283.3810,1406.0909,1499.6818,1374.0500,1336.8182,1305.0455,1479.5500,1426.1739,1365.3000,1208.3333,1127.3182,1244.5000,1356.8571,1297.9545,1368.3810,1316.5238,1350.2727,1471.6667,1641.9524,1562.1739,1383.4211,
14 - OHIO VALLEY,1238.2727,1316.3000,1276.2381,1343.0455,1447.6818,1464.4500,1457.2273,1461.5455,1483.2500,1441.2174,1308.0000,1249.7619,1269.8636,1268.6000,893.3636,405.5000,504.7500,670.4545,628.3478,652.9524,709.1905,712.7273,674.6000,601.6364,609.2500,593.1500,673.5652,656.6364,655.8000,698.6818,717.3333,711.1364,755.0476,756.3333,743.1905,663.4348,634.7619,688.4000,759.8261,727.2381,747.4762,776.4545,817.7000,787.3043,856.2857,810.6190,748.5238,651.5000,637.6364,644.7000,677.7826,687.1500,736.0000,703.5455,688.1500,709.5652,748.4000,673.5455,569.1429,501.5000,474.2273,476.5238,504.6667,515.1818,548.6364,533.6000,565.1818,557.2273,595.2000,579.1739,558.6000,491.5714,440.4091,456.8500,490.8571,521.0000,518.1905,520.6190,518.5000,608.0000,604.6190,575.4348,527.1053,
15 - CHARLES,1043.1818,1095.0000,1067.5238,1058.2727,1171.2727,1053.3500,1064.1364,989.0909,1179.1000,1165.4783,1098.8000,1045.4286,1084.1818,1080.3000,774.8182,555.4545,647.9500,608.1364,514.1304,479.5714,467.4286,487.3636,427.1500,419.4545,403.6000,407.2000,451.9565,484.6364,516.1500,524.5909,516.2381,518.6818,665.1905,701.2857,637.2857,623.5652,552.0476,649.6500,801.6957,716.6667,740.4762,713.1364,519.2500,514.9565,719.7619,722.6667,701.0476,629.5909,649.6818,735.3000,716.8261,739.0000,777.7273,737.3636,703.5500,667.9565,704.8000,740.8636,626.2381,581.1500,498.2727,511.1429,570.0476,675.3182,735.9545,777.0000,709.8182,701.8636,847.5000,865.4783,768.2500,676.0952,655.5000,801.9500,827.7619,814.1818,863.6190,794.9048,716.8636,806.0476,943.9048,929.4783,846.4211,
16 - BRIGHTON,3557.2273,3807.5500,3770.2857,3795.9545,3932.5455,3729.1000,3863.8182,3844.9091,4128.3500,4085.5217,3835.9500,3616.5714,3759.2273,3818.4500,2632.6818,1139.1818,1711.5000,2181.8636,1822.0435,1816.4762,1835.7143,1780.0455,1694.6000,1610.5455,1570.0000,1507.1000,1656.6957,1739.4091,1791.0000,1827.0909,1931.3810,1979.3636,2270.4762,2206.2857,2110.0952,1932.0435,1747.2857,2005.1500,2391.3913,2151.6190,2134.8571,2055.1818,2004.4500,2008.2609,2383.9524,2220.8571,2234.1429,2070.7727,1895.5455,2155.3500,2222.5652,2249.4500,2370.2727,2202.9545,2248.7000,2255.1739,2503.7500,2464.4545,2144.3810,1976.5000,1780.7273,2015.6667,2046.9048,2171.5000,2317.9545,2142.7500,2118.1364,2070.9091,2360.9500,2355.1304,2179.9000,1881.8095,1818.5455,2025.0000,2103.6667,2099.6818,2269.2857,2094.0476,1971.5000,2271.1429,2515.6667,2473.1739,2190.3684,
17 - SHADELAND,1253.7273,1376.3000,1337.9048,1284.1364,1345.8636,1231.2000,1315.6364,1285.8182,1417.1500,1398.9565,1295.7000,1308.3333,1306.8636,1306.9500,927.5909,488.5000,639.6000,758.2273,671.1304,673.7619,687.0476,651.2273,612.9500,615.9545,598.8500,585.3500,626.0435,693.6818,723.9000,709.1364,752.2857,761.7727,873.3333,882.7619,816.0000,758.6957,676.0952,785.3000,914.4783,863.4286,926.8571,903.2727,935.8500,892.9130,1038.6667,991.2857,972.1905,885.5909,886.4545,944.8000,949.4348,961.5000,999.2727,950.1818,920.5500,963.0000,1030.2000,1079.0909,980.2857,872.8000,812.7727,885.1905,856.7619,950.7273,1020.7273,897.0000,892.4091,875.2273,1008.0000,967.0000,939.4000,831.0952,805.1364,928.9500,951.7619,909.2273,961.0952,907.2381,895.5455,966.9524,1115.7619,1086.6957,1037.4211,
18 - MANCHESTER,81.0000,79.6000,102.0952,95.6818,97.8636,119.5500,83.9545,85.6364,96.6000,96.1304,123.6000,89.0000,81.3182,87.4000,69.9091,48.5909,59.6500,48.8182,32.7826,36.5238,44.3810,49.9545,49.1000,36.9545,40.9500,39.8500,44.8261,45.3636,48.6000,49.4545,56.0000,52.1818,51.9524,42.7143,45.3810,37.2174,35.5238,39.0000,47.9130,44.3333,47.8095,42.2273,40.2000,36.5652,38.8095,41.9524,46.7143,38.1818,43.2727,44.9500,49.5217,54.4000,58.8636,51.4545,58.4000,51.3478,45.2500,46.9091,42.9048,34.2500,38.7273,47.4286,50.4286,45.8636,27.5909,37.3500,44.0000,35.7727,51.8000,44.0435,46.8000,40.6667,32.5000,36.4000,33.3333,33.7727,39.0952,40.6190,49.7273,48.3333,48.3810,42.7826,30.8421,
19L - EMSWORTH LIMITED,640.0455,655.9000,614.8571,673.4545,684.4091,702.9500,673.3636,668.6364,674.7000,665.6522,627.1000,583.0000,650.1364,654.6000,376.3636,79.8636,91.7000,92.9091,112.3478,112.8095,135.4762,151.1818,134.3000,107.4091,122.6000,124.0500,142.3043,151.9091,152.2500,165.4091,179.1905,201.4091,217.2381,215.3810,213.1905,188.9565,181.9048,207.9500,231.4783,240.3333,255.1905,237.4091,241.9500,248.3478,258.0000,253.3333,236.4286,214.0000,265.6364,268.9000,272.5217,280.3000,293.5455,279.8636,270.9500,284.4348,298.9500,284.3636,262.8571,234.9000,248.3636,242.3810,249.0000,271.6818,264.5455,251.9000,251.2273,245.0455,253.4500,260.9565,212.4000,190.9524,215.3182,233.7000,254.0476,254.6364,248.0476,235.1905,238.0455,257.7143,287.1429,279.0000,250.5263,
2 - MOUNT ROYAL,925.5000,1033.8000,1041.1429,1025.1818,1042.1818,1009.4500,1031.5455,1049.8182,1059.5000,1039.0435,987.4500,971.1429,1020.7727,1001.1000,704.3182,337.6364,445.8000,544.2273,443.4348,470.2381,463.0000,493.0909,459.9000,391.3636,369.9500,368.0000,419.8261,415.4545,450.2500,461.9545,445.8571,454.0000,506.7619,504.8095,504.5238,485.1739,446.3810,516.4500,596.5217,550.0476,608.7143,605.6364,566.4500,568.3043,635.1905,590.3333,552.2381,519.8636,510.0455,480.3500,488.3478,504.7000,497.0909,483.0909,501.1500,526.6957,538.2500,533.5909,453.7619,404.6500,379.0455,407.9048,414.2381,437.3636,462.4091,484.7500,431.8182,432.4091,448.2000,450.2174,430.9500,373.0952,349.6364,378.8000,400.8095,400.0909,402.4762,409.0476,428.4545,459.3333,461.3810,461.4348,457.5263,
20 - KENNEDY,638.4545,673.5000,680.8571,681.0000,725.3636,722.7500,669.9545,701.4091,760.3000,775.3478,723.5000,639.6667,664.5000,660.1000,459.3636,298.4545,345.3000,383.6364,302.6087,218.4286,288.5238,306.8182,276.7500,243.0000,253.2500,237.9500,277.2609,283.9545,301.9500,299.8636,312.8571,313.9545,340.8571,346.8095,323.7619,309.1739,273.9524,311.3000,376.3043,360.8095,375.0952,360.1818,311.8500,328.3043,308.0952,308.7619,291.1905,240.4545,275.2727,277.8000,289.0870,293.1500,298.2727,300.5455,343.1500,337.1304,362.3000,335.3182,291.5714,256.3000,246.8182,281.5714,291.9048,305.7727,352.7273,353.4000,337.5455,332.3636,354.5000,339.1304,295.3000,287.0476,273.3182,303.1000,303.6190,304.0909,335.0476,348.5238,351.7273,385.7143,398.8571,360.2174,315.7368,
21 - CORAOPOLIS,1252.8182,1273.3000,1324.5714,1342.4545,1376.6818,1411.8000,1438.0455,1458.8182,1547.6500,1552.2174,1464.4000,1342.1429,1424.0909,1396.3500,1052.1364,825.2273,969.2000,912.4545,680.0000,651.9524,687.5714,647.7727,631.8500,572.8636,587.3500,585.4000,644.1304,657.5455,674.1000,678.0000,675.8571,676.3182,771.4286,763.8571,724.9048,713.5652,664.0000,708.3000,811.9565,805.0476,842.4762,834.0455,829.9000,849.8696,882.0476,883.0476,837.0000,785.7727,798.5455,850.6000,862.0435,912.0000,957.7727,973.5909,952.6500,979.3913,1016.3500,933.5000,802.4762,779.5000,741.8636,779.3810,791.9048,811.1818,865.0000,930.4500,917.0909,932.8636,983.5500,979.6087,874.3500,773.2857,727.4545,800.8000,831.2381,892.9545,908.9524,908.7619,990.8636,1036.6667,1074.3333,987.9130,940.6842,
